id	Variant	step1	step2	step3	step4	cat1	cat2	cat3
a57	2	68	0	0	0	1	7	17
a58	2	485	243	0	0	3	6	1
a59	2	41	0	0	0	2	6	19
a60	2	186	60	30	90	2	6	7
a61	2	131	1	0	0	2	2	2
a62	2	197	0	0	0	3	8	13
a63	2	327	0	0	0	3	4	16
a64	2	453	226	0	0	2	5	14
a65	2	453	0	0	0	2	8	16
a66	2	446	0	0	0	2	8	2
a67	2	102	90	0	0	2	5	10
a68	2	171	166	0	0	2	8	11
a69	2	102	0	0	0	1	8	2
a70	2	36	22	0	0	2	3	11
a71	2	300	237	188	376	1	2	18
a72	2	427	54	0	0	2	6	17
a73	2	259	10	5	10	3	6	1
a74	2	457	0	0	0	2	3	3
a75	2	420	241	69	207	1	2	19
a76	2	469	177	24	24	2	4	10
a77	2	407	7	5	5	3	5	10
a78	2	49	15	11	11	2	5	9
a79	2	223	148	0	0	1	1	3
a80	2	201	0	0	0	1	3	20
a81	2	473	83	0	0	2	3	8
a82	2	52	0	0	0	3	6	2
a83	2	137	105	0	0	3	2	2
a84	2	233	0	0	0	1	2	3
a85	2	459	319	0	0	3	8	12
a86	2	199	0	0	0	2	5	1
a87	2	383	0	0	0	1	4	17
a88	2	35	29	0	0	2	7	16
a89	2	287	0	0	0	2	3	3
a90	2	392	164	37	111	3	1	2
a91	2	370	99	0	0	1	6	10
a92	2	33	0	0	0	1	8	15
a93	2	174	118	0	0	1	3	2
a94	2	127	73	71	142	1	1	13
a95	2	256	0	0	0	1	1	14
a96	2	411	0	0	0	3	5	2
a97	2	377	198	148	148	1	6	8
a98	2	281	0	0	0	2	6	6
a99	2	189	73	0	0	2	3	17
a100	1	472	354	108	108	3	2	6
a100	1	156	15	13	13	2	2	17
a8	2	317	0	0	0	3	1	16
a53	2	338	109	62	62	1	3	17
a79	2	323	0	0	0	1	3	16
a96	2	307	0	0	0	3	8	5
a67	2	281	18	13	13	1	5	16
a91	2	89	0	0	0	1	3	2
a33	1	433	148	0	0	3	7	12
a82	2	337	246	0	0	1	2	19
a18	1	295	0	0	0	2	2	8
a44	1	380	17	0	0	2	2	19
a70	2	382	0	0	0	1	1	18
a5	1	462	235	85	170	2	5	4
a71	2	92	9	0	0	1	3	5
a89	2	163	7	0	0	3	6	7
a91	2	457	319	0	0	3	4	15
a82	2	172	169	160	320	3	4	3
a40	1	409	74	50	150	2	3	2
a37	1	378	253	0	0	2	7	5
a6	2	381	0	0	0	1	7	7
a58	2	48	0	0	0	3	7	3
a29	1	252	59	9	27	3	3	17
a4	1	2	0	0	0	3	6	5
a54	2	448	0	0	0	2	5	3
a85	2	409	0	0	0	2	5	15
a62	2	437	281	21	42	2	2	14
a25	1	223	0	0	0	2	5	1
a69	2	122	0	0	0	1	5	15
a45	1	69	0	0	0	1	6	11
a64	2	448	0	0	0	2	3	5
a50	1	388	0	0	0	3	5	20
a22	1	492	0	0	0	1	4	19
a16	1	407	0	0	0	1	8	19
a49	1	37	0	0	0	1	5	18
a28	1	176	0	0	0	3	7	4
a44	1	185	0	0	0	1	4	2
a100	1	438	0	0	0	1	2	5
a31	1	56	18	2	6	1	4	16
a9	2	208	0	0	0	3	7	10
a6	2	311	0	0	0	3	5	6
a56	2	107	101	62	186	1	5	19
a39	1	483	0	0	0	3	2	5
a32	1	500	0	0	0	2	3	6
a33	1	191	108	0	0	1	8	18
a55	2	173	159	80	160	1	2	6
a68	2	491	0	0	0	1	1	18
a47	1	281	0	0	0	2	4	4
a26	1	69	0	0	0	1	6	1
a91	2	153	0	0	0	3	7	6
a47	1	380	0	0	0	2	6	16
a64	2	165	111	49	147	2	7	2
a75	2	422	0	0	0	2	5	8
a24	1	219	116	0	0	2	3	5
a77	2	426	9	3	6	2	5	14
a36	1	216	4	0	0	3	5	3
a43	1	397	0	0	0	3	5	13
a53	2	333	0	0	0	3	6	15
a45	1	63	44	0	0	2	1	8
a24	1	382	295	0	0	3	5	15
a42	1	13	10	0	0	1	7	9
a21	1	249	0	0	0	1	3	16
a98	2	280	0	0	0	3	7	3
a79	2	322	0	0	0	1	2	9
a10	1	417	0	0	0	2	6	20
a70	2	407	72	0	0	1	1	8
a27	1	77	0	0	0	3	3	17
a50	1	23	14	13	13	3	6	2
a39	1	333	68	0	0	3	8	11
a24	1	389	238	0	0	3	6	19
a84	2	152	100	0	0	3	1	3
a32	1	287	153	8	24	3	3	10
a36	1	462	30	0	0	2	1	5
a45	1	230	181	0	0	1	4	13
a78	2	461	0	0	0	1	2	18
a94	2	262	214	0	0	1	3	13
a90	2	262	0	0	0	2	5	3
a85	2	335	189	154	154	3	8	15
a95	2	158	51	0	0	2	4	8
a25	1	437	0	0	0	2	5	3
a7	2	25	0	0	0	2	7	18
a32	1	249	0	0	0	1	1	5
a29	1	147	0	0	0	3	7	18
a95	2	206	0	0	0	2	4	10
a68	2	443	179	110	220	2	1	4
a80	2	67	26	0	0	3	6	18
a68	2	23	0	0	0	1	6	10
a52	2	179	97	55	110	3	6	9
a60	2	418	72	0	0	2	6	12
a67	2	166	0	0	0	1	5	18
a56	2	398	302	32	32	1	8	15
a7	2	165	0	0	0	1	6	5
a46	1	146	98	0	0	2	8	3
a52	2	245	178	0	0	1	3	12
a61	2	91	53	39	78	2	8	3
a4	1	341	0	0	0	1	1	17
a98	2	59	0	0	0	3	8	20
a20	1	356	167	0	0	2	2	5
a36	1	289	233	70	70	3	7	20
a1	1	158	0	0	0	1	1	17
a84	2	70	59	0	0	2	2	1
a16	1	138	0	0	0	3	6	10
a73	2	348	0	0	0	1	3	3
a44	1	454	320	122	244	2	7	11
a55	2	112	0	0	0	3	6	2
a54	2	129	0	0	0	2	3	10
a32	1	95	0	0	0	3	1	19
a88	2	142	106	82	82	3	3	4
a71	2	152	121	25	25	2	6	7
a71	2	407	0	0	0	1	7	9
a73	2	363	151	29	87	3	5	7
a15	1	345	0	0	0	3	4	6
a10	1	38	32	6	18	3	8	7
a31	1	271	0	0	0	2	3	13
a98	2	57	0	0	0	2	4	20
a6	2	460	0	0	0	1	3	4
a82	2	297	103	0	0	2	6	17
a6	2	241	23	0	0	3	6	7
a89	2	97	60	0	0	2	1	4
a80	2	457	269	249	249	1	1	5
a2	1	324	221	0	0	3	5	6
a83	2	137	120	0	0	2	4	4
a58	2	143	42	26	78	3	4	13
a81	2	468	0	0	0	2	7	3
a55	2	227	0	0	0	2	1	12
a78	2	101	0	0	0	1	7	19
a100	1	169	129	0	0	1	7	7
a13	1	302	0	0	0	2	6	16
a83	2	354	0	0	0	1	1	20
a27	1	332	60	34	34	2	4	13
a26	1	74	0	0	0	3	7	11
a71	2	259	0	0	0	1	2	14
a57	2	31	0	0	0	3	3	11
a5	1	496	63	60	120	3	7	15
a70	2	435	178	0	0	1	5	12
a43	1	224	39	1	3	3	1	14
a59	2	480	317	104	208	2	2	2
a22	1	406	31	0	0	3	8	4
a50	1	27	6	2	4	2	7	9
a24	1	363	0	0	0	3	7	1
a80	2	35	22	4	12	3	7	5
a6	2	18	10	0	0	3	8	7
a86	2	318	170	0	0	3	8	16
a10	1	461	457	0	0	1	8	12
a59	2	75	0	0	0	1	6	3
a13	1	423	338	0	0	2	1	10
a82	2	145	0	0	0	2	2	5
a74	2	290	151	35	70	3	1	8
a17	1	433	0	0	0	1	6	10
a80	2	373	365	0	0	3	1	16
a98	2	450	0	0	0	3	1	5
a59	2	68	0	0	0	3	8	17
a22	1	309	0	0	0	1	7	4
a23	1	422	0	0	0	2	1	16
a90	2	157	73	47	141	2	1	11
a16	1	217	0	0	0	3	8	18
a31	1	259	70	0	0	3	2	10
a86	2	397	235	0	0	3	6	14
a67	2	6	3	0	0	2	2	17
a11	1	366	0	0	0	1	2	19
a88	2	398	0	0	0	1	7	3
a68	2	241	0	0	0	3	2	19
a100	1	181	0	0	0	2	5	7
a54	2	195	0	0	0	1	4	14
a62	2	218	0	0	0	1	5	12
a98	2	460	165	146	292	2	1	19
a48	1	92	0	0	0	2	2	3
a17	1	297	0	0	0	2	1	5
a100	1	480	168	0	0	1	2	14
a70	2	439	61	0	0	2	1	13
a43	1	447	43	0	0	1	7	4
a83	2	433	0	0	0	2	3	19
a7	2	488	280	252	504	2	5	1
a17	1	432	0	0	0	2	7	8
a28	1	139	0	0	0	3	3	20
a49	1	451	136	0	0	1	6	4
a20	1	50	45	3	3	1	2	5
a93	2	151	144	0	0	2	8	10
a43	1	252	132	5	15	3	3	7
a1	1	327	0	0	0	1	4	16
a20	1	48	12	0	0	3	5	4
a94	2	435	0	0	0	1	3	8
a8	2	280	0	0	0	1	3	5
a30	1	76	0	0	0	2	6	6
a65	2	103	58	15	45	2	7	19
a40	1	55	0	0	0	1	1	6
a93	2	96	17	1	3	3	7	18
a32	1	116	0	0	0	1	7	7
a60	2	213	0	0	0	2	4	10
a73	2	32	0	0	0	1	3	14
a86	2	251	0	0	0	2	4	7
a1	1	481	278	0	0	3	1	17
a74	2	313	275	0	0	2	1	10
a62	2	246	0	0	0	2	7	5
a80	2	367	284	0	0	1	2	5
a70	2	155	0	0	0	3	1	9
a62	2	182	39	0	0	1	2	5
a59	2	114	0	0	0	1	2	20
a3	1	144	0	0	0	3	3	2
a72	2	216	0	0	0	1	5	7
a41	1	430	296	0	0	3	7	16
a41	1	447	0	0	0	2	2	4
a3	1	357	128	0	0	2	5	10
a57	2	191	0	0	0	3	8	16
a92	2	150	0	0	0	2	1	13
a29	1	118	0	0	0	2	8	3
a17	1	127	86	0	0	3	8	4
a66	2	319	230	0	0	1	6	8
a89	2	246	0	0	0	1	8	4
a42	1	132	101	0	0	1	6	19
a82	2	193	141	63	63	1	3	17
a98	2	228	0	0	0	1	5	4
a6	2	275	0	0	0	1	4	2
a95	2	128	62	0	0	3	7	5
a58	2	360	0	0	0	3	6	17
a3	1	40	0	0	0	2	6	11
a97	2	8	0	0	0	3	8	4
a48	1	88	29	1	1	3	7	3
a89	2	121	8	0	0	2	2	7
a92	2	326	227	0	0	3	4	18
a82	2	179	0	0	0	2	4	15
a23	1	96	38	0	0	2	3	10
a15	1	57	0	0	0	1	6	5
a83	2	497	0	0	0	1	4	4
a57	2	91	0	0	0	1	1	7
a38	1	253	0	0	0	2	7	5
a95	2	345	202	80	80	1	2	19
a34	1	305	0	0	0	1	8	8
a15	1	38	0	0	0	3	2	2
a47	1	26	0	0	0	2	6	10
a89	2	253	40	0	0	3	3	15
a85	2	257	0	0	0	1	1	18
a37	1	248	0	0	0	1	6	16
a87	2	380	0	0	0	3	8	12
a66	2	260	6	0	0	3	3	4
a59	2	53	25	0	0	1	2	6
a47	1	202	0	0	0	2	5	17
a74	2	260	0	0	0	3	5	5
a84	2	366	80	33	66	2	1	16
a73	2	229	117	80	240	1	2	8
a62	2	192	0	0	0	2	1	12
a48	1	231	215	76	152	3	8	3
a67	2	476	0	0	0	3	4	20
a28	1	88	0	0	0	2	2	20
a4	1	186	0	0	0	1	5	9
a71	2	145	0	0	0	1	2	20
a55	2	498	2	0	0	1	3	6
a46	1	439	397	239	717	2	7	1
a51	2	385	216	0	0	2	1	3
a89	2	22	7	0	0	3	2	17
a92	2	400	0	0	0	1	1	18
a7	2	18	0	0	0	2	7	19
a45	1	491	328	270	270	1	7	1
a17	1	312	0	0	0	2	1	6
a66	2	381	0	0	0	2	1	1
a60	2	482	0	0	0	2	6	2
a97	2	342	134	59	59	1	6	14
a27	1	206	0	0	0	1	3	6
a75	2	398	330	0	0	3	8	1
a15	1	344	149	70	140	2	3	5
a32	1	322	0	0	0	1	5	3
a15	1	125	33	0	0	2	1	13
a53	2	277	0	0	0	1	4	3
a63	2	35	0	0	0	2	2	5
a98	2	246	200	0	0	1	4	2
a36	1	470	99	14	42	3	6	3
a23	1	99	70	68	204	2	6	13
a100	1	231	195	165	495	3	4	2
a11	1	235	0	0	0	2	3	1
a43	1	242	0	0	0	2	3	16
a31	1	462	0	0	0	2	6	13
a71	2	414	0	0	0	2	6	9
a56	2	438	0	0	0	1	3	5
a54	2	292	158	25	25	1	3	16
a72	2	312	0	0	0	2	3	18
a31	1	308	135	100	100	3	3	9
a84	2	393	0	0	0	2	6	2
a7	2	147	0	0	0	3	1	2
a33	1	417	0	0	0	3	4	18
a32	1	177	17	0	0	3	5	13
a94	2	396	0	0	0	1	2	3
a76	2	263	171	139	139	2	3	10
a62	2	326	0	0	0	1	7	19
a17	1	103	78	64	128	1	6	18
a53	2	276	0	0	0	1	1	8
a32	1	408	187	0	0	1	1	14
a81	2	27	19	0	0	1	5	17
a22	1	179	0	0	0	1	2	4
a22	1	189	0	0	0	3	3	20
a39	1	472	0	0	0	1	3	14
a22	1	221	0	0	0	3	4	6
a16	1	210	16	10	30	3	8	6
a82	2	52	0	0	0	2	8	4
a100	1	123	17	8	16	2	2	5
a13	1	445	242	0	0	1	1	18
a90	2	466	359	268	804	3	8	11
a44	1	438	110	50	50	1	1	20
a44	1	311	0	0	0	1	8	20
a78	2	213	0	0	0	3	4	1
a36	1	483	311	110	220	2	5	9
a75	2	78	2	1	2	3	2	1
a98	2	30	0	0	0	2	2	13
a98	2	181	0	0	0	3	8	6
a29	1	60	19	3	3	3	5	5
a48	1	92	35	0	0	2	7	19
a2	1	276	0	0	0	1	3	1
a84	2	51	0	0	0	3	2	9
a62	2	167	0	0	0	2	5	4
a54	2	37	0	0	0	3	1	17
a47	1	378	210	0	0	3	8	6
a4	1	383	304	40	120	3	8	13
a93	2	257	132	98	196	3	6	15
a54	2	223	0	0	0	3	4	3
a63	2	387	0	0	0	1	3	10
a62	2	353	315	0	0	1	1	1
a21	1	276	0	0	0	1	5	20
a97	2	15	13	0	0	2	2	20
a60	2	13	9	7	21	2	2	20
a36	1	220	31	7	21	1	8	13
a9	2	479	0	0	0	1	5	17
a71	2	181	92	25	25	1	5	15
a53	2	215	21	8	16	1	8	15
a85	2	150	116	0	0	2	2	19
a54	2	260	0	0	0	1	7	6
a97	2	444	0	0	0	1	5	5
a76	2	465	0	0	0	2	4	19
a38	1	401	76	0	0	3	6	18
a37	1	352	303	0	0	3	2	6
a31	1	232	0	0	0	1	2	7
a63	2	342	95	88	176	2	7	7
a6	2	212	34	29	87	1	4	1
a90	2	323	0	0	0	2	4	4
a74	2	166	48	9	27	2	5	12
a2	1	32	0	0	0	1	3	19
a6	2	299	299	0	0	3	6	3
a47	1	500	106	73	146	1	1	11
a18	1	104	92	0	0	3	3	7
a36	1	6	0	0	0	3	1	17
a12	1	353	0	0	0	3	1	4
a60	2	498	0	0	0	3	2	7
a10	1	317	0	0	0	2	5	1
a16	1	128	94	0	0	2	4	18
a32	1	158	49	35	70	1	7	16
a98	2	21	10	8	8	3	3	6
a35	1	499	367	0	0	3	8	9
a97	2	279	261	231	231	2	6	18
a62	2	61	35	0	0	1	1	12
a91	2	65	0	0	0	1	4	1
a71	2	287	0	0	0	2	2	9
a7	2	160	121	0	0	3	3	7
a6	2	369	0	0	0	3	4	10
a12	1	433	0	0	0	1	6	10
a81	2	120	118	113	339	3	6	17
a70	2	351	350	0	0	2	1	4
a73	2	34	0	0	0	2	4	19
a54	2	313	163	28	56	1	6	3
a5	1	320	0	0	0	1	5	7
a46	1	33	0	0	0	3	7	13
a75	2	277	217	90	180	2	3	13
a24	1	30	0	0	0	2	8	11
a19	1	155	0	0	0	2	4	11
a70	2	49	0	0	0	3	8	18
a14	1	159	0	0	0	1	7	7
a16	1	176	97	93	186	2	8	7
a98	2	143	100	50	50	2	7	5
a30	1	278	0	0	0	2	2	8
a41	1	100	0	0	0	2	1	11
a75	2	301	0	0	0	1	3	11
a26	1	184	90	22	44	3	6	16
a78	2	141	57	0	0	2	5	17
a26	1	164	50	23	69	3	4	6
a17	1	290	203	0	0	3	4	3
a5	1	55	0	0	0	2	7	13
a69	2	37	25	14	14	3	7	8
a9	2	402	243	127	127	1	2	19
a22	1	380	0	0	0	3	3	11
a68	2	8	0	0	0	3	2	20
a87	2	57	0	0	0	3	8	11
a62	2	415	70	0	0	2	5	10
a25	1	166	0	0	0	2	3	10
a97	2	313	278	199	597	3	3	19
a12	1	416	0	0	0	1	3	6
a25	1	36	0	0	0	1	2	3
a91	2	30	14	2	6	2	2	4
a20	1	122	47	22	44	1	5	2
a43	1	74	0	0	0	2	2	18
a77	2	375	0	0	0	2	2	3
a57	2	394	349	111	111	2	6	8
a46	1	376	0	0	0	3	4	17
a40	1	51	0	0	0	2	7	3
a91	2	8	0	0	0	2	6	12
a31	1	5	4	4	4	3	6	3
a17	1	162	26	5	10	3	3	10
a74	2	403	156	0	0	2	8	9
a100	1	386	377	0	0	2	1	11
a43	1	234	0	0	0	1	5	8
a23	1	199	25	22	44	1	2	7
a7	2	417	0	0	0	1	1	1
a8	2	36	33	0	0	3	6	20
a43	1	303	0	0	0	3	5	15
a37	1	288	0	0	0	2	4	16
a58	2	344	0	0	0	3	5	15
a83	2	426	0	0	0	1	1	12
a23	1	315	0	0	0	2	7	5
a77	2	305	0	0	0	3	6	18
a18	1	102	0	0	0	2	3	13
a41	1	276	0	0	0	1	1	14
a72	2	336	72	52	52	1	8	12
a36	1	355	160	0	0	3	3	10
a50	1	230	223	162	162	1	3	6
a75	2	155	154	40	40	2	8	8
a41	1	93	17	0	0	2	2	13
a53	2	43	0	0	0	3	6	13
a37	1	164	104	0	0	3	5	5
a48	1	18	0	0	0	1	3	1
a61	2	432	327	0	0	3	5	1
a82	2	291	0	0	0	2	5	13
a68	2	139	122	0	0	1	3	17
a30	1	140	61	0	0	1	6	10
a93	2	46	24	10	30	3	8	8
a16	1	420	0	0	0	1	7	3
a35	1	47	0	0	0	3	1	17
a89	2	128	124	0	0	2	1	8
a25	1	444	0	0	0	1	5	17
a42	1	160	87	33	66	3	4	3
a56	2	352	0	0	0	2	5	12
a26	1	354	0	0	0	3	5	8
a59	2	15	0	0	0	2	7	14
a34	1	391	175	83	83	2	4	4
a88	2	488	301	0	0	2	2	7
a60	2	441	0	0	0	2	6	20
a94	2	38	0	0	0	3	3	12
a3	1	256	0	0	0	3	4	9
a99	2	82	0	0	0	2	5	1
a53	2	95	0	0	0	1	1	1
a91	2	440	0	0	0	1	2	2
a44	1	480	152	25	50	1	2	4
a52	2	468	0	0	0	1	2	4
a5	1	151	5	0	0	3	3	13
a95	2	278	112	0	0	2	4	4
a13	1	82	12	0	0	1	1	13
a72	2	145	28	4	4	1	2	8
a88	2	307	0	0	0	2	2	12
a18	1	36	0	0	0	2	4	13
a25	1	402	216	97	194	1	8	12
a46	1	61	0	0	0	3	7	13
a27	1	58	0	0	0	2	1	2
a2	1	256	0	0	0	1	3	9
a3	1	315	57	44	44	2	8	1
a42	1	179	0	0	0	2	6	10
a6	2	217	0	0	0	1	1	14
a76	2	183	2	0	0	2	5	18
a65	2	261	18	15	15	1	6	11
a51	2	409	0	0	0	2	5	19
a100	1	136	20	4	4	1	4	13
a79	2	246	0	0	0	1	1	19
a70	2	145	70	0	0	1	1	17
a92	2	403	0	0	0	1	4	20
a77	2	292	0	0	0	2	2	19
a89	2	375	0	0	0	1	5	17
a14	1	423	0	0	0	2	6	16
a33	1	75	48	0	0	1	3	10
a21	1	267	0	0	0	3	5	7
a1	1	86	0	0	0	1	3	8
a94	2	243	0	0	0	1	5	10
a20	1	354	0	0	0	3	5	12
a28	1	472	34	0	0	1	7	10
a27	1	430	29	0	0	3	1	12
a69	2	413	0	0	0	2	8	19
a91	2	119	112	16	48	2	1	16
a27	1	152	0	0	0	1	8	8
a4	1	259	226	58	116	3	4	6
a96	2	120	27	0	0	1	1	7
a46	1	214	11	0	0	1	4	12
a58	2	486	277	0	0	2	3	4
a72	2	367	60	0	0	3	6	20
a79	2	324	226	0	0	1	5	5
a85	2	441	267	157	314	1	8	14
a99	2	292	0	0	0	2	4	5
a79	2	162	0	0	0	1	5	17
a94	2	152	0	0	0	2	3	18
a46	1	127	0	0	0	2	8	6
a81	2	67	53	0	0	2	4	15
a26	1	450	0	0	0	2	6	12
a7	2	19	0	0	0	2	2	6
a77	2	339	0	0	0	3	5	16
a30	1	129	0	0	0	3	1	18
a8	2	464	0	0	0	3	7	4
a56	2	238	172	95	95	1	4	10
a17	1	232	0	0	0	1	8	17
a16	1	131	0	0	0	1	6	13
a92	2	252	0	0	0	3	4	10
a17	1	105	0	0	0	3	1	5
a98	2	241	0	0	0	1	7	19
a73	2	411	374	0	0	3	4	7
a54	2	416	317	230	690	3	7	20
a75	2	113	0	0	0	1	3	5
a42	1	453	0	0	0	3	1	8
a43	1	354	157	0	0	2	6	7
a95	2	362	101	97	291	1	7	19
a48	1	100	74	35	35	1	2	6
a58	2	304	278	0	0	3	4	20
a22	1	442	0	0	0	3	6	6
a38	1	127	0	0	0	2	3	16
a87	2	3	0	0	0	1	7	12
a5	1	409	0	0	0	3	6	17
a11	1	432	0	0	0	2	1	2
a47	1	153	31	5	15	1	3	1
a72	2	231	0	0	0	3	3	10
a15	1	121	117	0	0	3	1	17
a91	2	112	66	29	58	2	2	16
a44	1	433	0	0	0	1	3	12
a48	1	61	52	5	10	2	2	19
a95	2	450	0	0	0	3	5	9
a99	2	294	0	0	0	2	8	1
a29	1	22	0	0	0	3	7	3
a25	1	326	245	0	0	1	8	18
a79	2	266	0	0	0	1	5	20
a67	2	144	0	0	0	2	4	15
a10	1	273	0	0	0	3	3	2
a13	1	365	42	0	0	1	7	3
a69	2	290	175	136	408	1	7	12
a81	2	195	0	0	0	3	3	18
a50	1	365	50	0	0	1	5	17
a53	2	55	0	0	0	2	7	16
a7	2	25	0	0	0	2	5	7
a80	2	352	160	50	50	1	4	1
a54	2	47	41	21	21	1	8	15
a84	2	268	261	124	372	3	6	16
a47	1	24	1	1	2	1	4	2
a79	2	427	357	0	0	3	5	9
a43	1	3	0	0	0	3	5	4
a31	1	318	285	0	0	2	2	17
a53	2	13	0	0	0	1	4	6
a69	2	102	68	19	19	3	5	9
a88	2	145	0	0	0	1	1	12
a100	1	309	247	0	0	3	7	10
a99	2	164	0	0	0	1	2	18
a20	1	10	0	0	0	3	4	16
a75	2	53	0	0	0	3	4	4
a81	2	439	287	67	201	1	6	17
a60	2	490	335	250	500	1	7	12
a77	2	465	0	0	0	1	2	9
a97	2	188	0	0	0	1	8	16
a30	1	467	7	0	0	1	8	8
a45	1	180	21	0	0	1	4	6
a48	1	425	0	0	0	1	1	1
a97	2	121	0	0	0	2	3	12
a23	1	125	0	0	0	3	4	13
a65	2	105	101	98	98	3	1	1
a40	1	321	271	76	228	2	7	10
a88	2	321	317	80	240	3	5	19
a60	2	25	0	0	0	2	4	12
a100	1	343	0	0	0	2	5	18
a89	2	467	0	0	0	3	5	20
a1	1	309	127	25	75	1	1	17
a17	1	367	155	0	0	3	1	5
a84	2	309	0	0	0	3	7	6
a31	1	370	184	0	0	3	1	4
a37	1	369	211	0	0	2	1	13
a25	1	78	73	0	0	2	2	4
a53	2	272	142	21	63	1	4	15
a7	2	104	0	0	0	1	7	7
a11	1	74	0	0	0	2	2	18
a84	2	149	133	95	190	1	8	9
a4	1	349	333	38	114	1	5	8
a86	2	263	0	0	0	2	5	6
a83	2	363	0	0	0	2	6	12
a46	1	275	180	0	0	1	5	20
a65	2	69	61	0	0	3	1	13
a85	2	298	215	0	0	1	8	9
a78	2	407	0	0	0	3	8	15
a43	1	271	9	6	6	3	7	17
a31	1	64	0	0	0	3	8	7
a5	1	343	0	0	0	1	2	10
a13	1	263	0	0	0	1	6	14
a46	1	201	98	0	0	1	1	13
a10	1	338	287	0	0	1	6	11
a40	1	333	309	0	0	1	6	2
a30	1	405	0	0	0	2	2	9
a69	2	156	152	49	49	3	3	7
a31	1	231	0	0	0	2	5	10
a67	2	1	0	0	0	2	7	14
a94	2	458	0	0	0	3	7	9
a67	2	180	169	1	3	3	2	18
a31	1	153	18	15	15	3	7	9
a64	2	124	85	0	0	1	2	10
a43	1	139	27	6	12	3	2	17
a11	1	468	449	0	0	3	1	2
a68	2	45	0	0	0	2	7	2
a29	1	38	0	0	0	3	8	10
a6	2	81	0	0	0	2	5	16
a22	1	368	0	0	0	1	2	18
a49	1	308	0	0	0	3	8	1
a68	2	466	0	0	0	3	3	16
a2	1	343	0	0	0	3	8	20
a43	1	18	0	0	0	2	8	1
a5	1	495	0	0	0	3	1	17
a52	2	439	0	0	0	2	7	13
a46	1	265	0	0	0	1	6	5
a40	1	357	179	94	188	1	8	18
a39	1	495	228	0	0	2	8	11
a36	1	303	59	0	0	3	5	19
a84	2	77	0	0	0	2	2	12
a10	1	472	0	0	0	1	3	13
a63	2	343	99	26	52	1	6	20
a42	1	324	289	100	200	3	5	14
a17	1	125	22	19	38	1	8	18
a51	2	456	256	155	465	3	6	9
a90	2	66	53	31	31	1	6	11
a51	2	349	0	0	0	1	7	10
a4	1	78	0	0	0	2	5	5
a90	2	380	106	27	54	2	8	18
a1	1	395	240	0	0	3	2	2
a8	2	351	0	0	0	2	3	6
a95	2	387	0	0	0	2	5	9
a85	2	331	326	0	0	2	1	13
a91	2	94	0	0	0	2	2	20
a27	1	198	176	110	330	3	5	14
a98	2	420	0	0	0	2	1	5
a39	1	81	0	0	0	2	3	7
a95	2	135	0	0	0	3	3	4
a52	2	183	23	0	0	2	2	5
a49	1	226	0	0	0	3	8	17
a49	1	344	0	0	0	1	7	3
a54	2	146	0	0	0	2	8	16
a26	1	424	296	0	0	1	3	18
a21	1	60	0	0	0	1	7	15
a6	2	302	0	0	0	1	6	13
a85	2	300	0	0	0	3	4	9
a10	1	370	0	0	0	3	7	5
a4	1	393	97	52	52	2	6	13
a32	1	20	0	0	0	2	5	5
a5	1	85	7	0	0	3	7	10
